subset,rul_bucket,rank,sensor_id,symbol,quantity,units,subsystem,total_abs_shap
FD003,overall,9,sensor_12,phi,Fuel-flow / Ps30 ratio,pps/psia,Combustor,0.19286904336297678
FD003,overall,10,sensor_7,P30,HPC outlet total pressure,psia,HPC,0.19198728633416967
FD003,overall,11,sensor_21,W32,LPT coolant bleed,lbm/s,LPT,0.18770117010624177
FD003,overall,12,sensor_2,T24,LPC outlet total temperature,°R,LPC,0.18388411334177884
FD003,overall,13,sensor_3,T30,HPC outlet total temperature,°R,HPC,0.17742727164872557
FD003,overall,14,sensor_20,W31,HPT coolant bleed,lbm/s,HPT,0.1771101220733586
FD003,overall,15,sensor_13,NRf,Corrected fan speed,rpm,Fan,0.16647238617265975
FD003,overall,16,sensor_8,Nf,Physical fan speed,rpm,Fan,0.13686386756380514
FD003,mid-life (RUL > 80),1,sensor_6,P15,Bypass-duct total pressure,psia,Fan,0.2568980145655392
FD003,mid-life (RUL > 80),2,sensor_14,NRc,Corrected core speed,rpm,Core,0.2031568940821163
FD003,mid-life (RUL > 80),3,sensor_4,T50,LPT outlet total temperature,°R,LPT,0.1814315575108851
FD003,mid-life (RUL > 80),4,sensor_15,BPR,Bypass ratio,—,Performance,0.18064935040752964
FD003,mid-life (RUL > 80),5,sensor_9,Nc,Physical core speed,rpm,Core,0.17958892066506454
FD003,mid-life (RUL > 80),6,sensor_12,phi,Fuel-flow / Ps30 ratio,pps/psia,Combustor,0.17516366993839338
FD003,mid-life (RUL > 80),7,sensor_13,NRf,Corrected fan speed,rpm,Fan,0.17494859050153375
FD003,mid-life (RUL > 80),8,sensor_11,Ps30,HPC outlet static pressure,psia,HPC,0.17440707763646526
FD003,mid-life (RUL > 80),9,sensor_7,P30,HPC outlet total pressure,psia,HPC,0.1726548747138159
FD003,mid-life (RUL > 80),10,sensor_17,htBleed,Bleed enthalpy,—,HPC,0.17256639137053562
FD003,mid-life (RUL > 80),11,sensor_2,T24,LPC outlet total temperature,°R,LPC,0.1709029371149412
FD003,mid-life (RUL > 80),12,sensor_21,W32,LPT coolant bleed,lbm/s,LPT,0.1655111326850013
FD003,mid-life (RUL > 80),13,sensor_3,T30,HPC outlet total temperature,°R,HPC,0.1621212151545136
FD003,mid-life (RUL > 80),14,sensor_20,W31,HPT coolant bleed,lbm/s,HPT,0.1551857454567349
FD003,mid-life (RUL > 80),15,sensor_8,Nf,Physical fan speed,rpm,Fan,0.14662589464451894
FD003,mid-life (RUL > 80),16,sensor_10,epr,Engine pressure ratio (P50/P2),—,Performance,0.1253675663790565
FD003,pre-warning (30 < RUL <= 80),1,sensor_10,epr,Engine pressure ratio (P50/P2),—,Performance,0.3426735536232781
FD003,pre-warning (30 < RUL <= 80),2,sensor_14,NRc,Corrected core speed,rpm,Core,0.24292808410817626
FD003,pre-warning (30 < RUL <= 80),3,sensor_6,P15,Bypass-duct total pressure,psia,Fan,0.2356396565385339
FD003,pre-warning (30 < RUL <= 80),4,sensor_15,BPR,Bypass ratio,—,Performance,0.20524877711732764
FD003,pre-warning (30 < RUL <= 80),5,sensor_9,Nc,Physical core speed,rpm,Core,0.19655209101638305
FD003,pre-warning (30 < RUL <= 80),6,sensor_12,phi,Fuel-flow / Ps30 ratio,pps/psia,Combustor,0.19052850461254428
FD003,pre-warning (30 < RUL <= 80),7,sensor_4,T50,LPT outlet total temperature,°R,LPT,0.1825760821194664
FD003,pre-warning (30 < RUL <= 80),8,sensor_21,W32,LPT coolant bleed,lbm/s,LPT,0.17777064304158885
FD003,pre-warning (30 < RUL <= 80),9,sensor_7,P30,HPC outlet total pressure,psia,HPC,0.1750239565664891
FD003,pre-warning (30 < RUL <= 80),10,sensor_20,W31,HPT coolant bleed,lbm/s,HPT,0.1737492633086534
FD003,pre-warning (30 < RUL <= 80),11,sensor_17,htBleed,Bleed enthalpy,—,HPC,0.16867416123196738
FD003,pre-warning (30 < RUL <= 80),12,sensor_2,T24,LPC outlet total temperature,°R,LPC,0.1679710292034331
FD003,pre-warning (30 < RUL <= 80),13,sensor_11,Ps30,HPC outlet static pressure,psia,HPC,0.16731037031472346
FD003,pre-warning (30 < RUL <= 80),14,sensor_3,T30,HPC outlet total temperature,°R,HPC,0.15901343603034582
FD003,pre-warning (30 < RUL <= 80),15,sensor_13,NRf,Corrected fan speed,rpm,Fan,0.11899870865423948
FD003,pre-warning (30 < RUL <= 80),16,sensor_8,Nf,Physical fan speed,rpm,Fan,0.1031971108790927
FD003,warning zone (RUL <= 30),1,sensor_14,NRc,Corrected core speed,rpm,Core,0.46926015712384034
FD003,warning zone (RUL <= 30),2,sensor_4,T50,LPT outlet total temperature,°R,LPT,0.38872291138878357
FD003,warning zone (RUL <= 30),3,sensor_9,Nc,Physical core speed,rpm,Core,0.3742860662003027
FD003,warning zone (RUL <= 30),4,sensor_11,Ps30,HPC outlet static pressure,psia,HPC,0.36244237769452803
FD003,warning zone (RUL <= 30),5,sensor_10,epr,Engine pressure ratio (P50/P2),—,Performance,0.3575133238810405
FD003,warning zone (RUL <= 30),6,sensor_15,BPR,Bypass ratio,—,Performance,0.34932052058661356
FD003,warning zone (RUL <= 30),7,sensor_17,htBleed,Bleed enthalpy,—,HPC,0.3299590617548538
FD003,warning zone (RUL <= 30),8,sensor_7,P30,HPC outlet total pressure,psia,HPC,0.3104904620341298
